D0,D2
TX22_D0_A2R,TX13_D2_A4R
TX22_D0_A1L,TX12_D2_C1R
TX13_D0_B1L,TX13_D2_A4L
TX12_D0_B4L,TX22_D2_A2L
TX12_D0_E4R,TX22_D2_A2R
TX22_D0_A2L,TX13_D2_A5L
TX22_D0_A1R,TX15_D2_D2L
TX12_D0_C2R,TX15_D2_B1L
TX12_D0_C2L,TX22_D2_A3R
TX12_D0_E2R,TX12_D2_A1R
TX15_D0_B2L,TX15_D2_D1L
TX15_D0_B1R,TX12_D2_C1L
TX13_D0_B1R,TX12_D2_A2L
TX13_D0_B3R,TX13_D2_A3R
TX13_D0_B3L,TX15_D2_B1R
TX12_D0_C1L,TX13_D2_A3L
TX13_D0_B2L,TX13_D2_A5R
TX12_D0_E3R,TX22_D2_A3L
TX12_D0_E2L,TX15_D2_D2R
TX22_D0_A3L,TX15_D2_D1R
TX22_D0_A4R,TX12_D2_A2R
