D0,D6
TX13_D0_B1L,TX15_D7_D3L
TX12_D0_E2R,TX12_D6_E3R
TX22_D0_A2L,TX12_D6_E4L
TX12_D0_C2R,TX22_D7_A4L
TX22_D0_A3R,TX13_D7_B2R
TX12_D0_C2L,TX12_D6_E3L
TX12_D0_E2L,TX12_D6_C1L
TX12_D0_E4R,TX12_D6_C2R
TX13_D0_B2L,TX13_D7_B1L
TX15_D0_B1R,TX15_D7_B2R
TX12_D0_E4L,TX22_D7_A4R
TX12_D0_E3L,TX22_D7_B2R
TX22_D0_A3L,TX12_D6_E2L
TX15_D0_B2R,TX22_D7_B2L
TX22_D0_A2R,TX12_D6_B4L
TX12_D0_C1R,TX12_D6_E4R
TX13_D0_B1R,TX13_D7_B2L
TX22_D0_A1R,TX22_D7_B1L
TX22_D0_A1L,TX12_D6_C1R
TX13_D0_B3R,TX15_D7_B2L
TX12_D0_B4L,TX12_D6_E2R
